geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037124104,6037124104,"Census Tract 1241.04, Los Angeles, CA",996,54,157,49,839,75
14000US06037124105,6037124105,"Census Tract 1241.05, Los Angeles, CA",929,40,161,53,768,55
14000US06037124201,6037124201,"Census Tract 1242.01, Los Angeles, CA",1141,56,531,100,610,97
14000US06037124203,6037124203,"Census Tract 1242.03, Los Angeles, CA",814,48,313,58,501,61
14000US06037124204,6037124204,"Census Tract 1242.04, Los Angeles, CA",929,98,135,62,794,109
14000US06037124300,6037124300,"Census Tract 1243, Los Angeles, CA",1150,119,297,92,853,116
14000US06037124400,6037124400,"Census Tract 1244, Los Angeles, CA",1768,51,642,103,1126,114
14000US06037124500,6037124500,"Census Tract 1245, Los Angeles, CA",1168,83,586,120,582,130
14000US06037124600,6037124600,"Census Tract 1246, Los Angeles, CA",1310,96,510,80,800,115
14000US06037124700,6037124700,"Census Tract 1247, Los Angeles, CA",2474,81,1156,171,1318,181
14000US06037124902,6037124902,"Census Tract 1249.02, Los Angeles, CA",1534,83,161,63,1373,86
14000US06037124903,6037124903,"Census Tract 1249.03, Los Angeles, CA",1508,107,328,101,1180,125
14000US06037125100,6037125100,"Census Tract 1251, Los Angeles, CA",2852,162,686,133,2166,204
14000US06037125200,6037125200,"Census Tract 1252, Los Angeles, CA",1653,108,575,92,1078,137
14000US06037125310,6037125310,"Census Tract 1253.10, Los Angeles, CA",1973,176,369,137,1604,201
14000US06037125320,6037125320,"Census Tract 1253.20, Los Angeles, CA",2753,167,95,57,2658,179
14000US06037125401,6037125401,"Census Tract 1254.01, Los Angeles, CA",2558,179,125,60,2433,185
14000US06037125402,6037125402,"Census Tract 1254.02, Los Angeles, CA",2040,97,624,139,1416,145
14000US06037125501,6037125501,"Census Tract 1255.01, Los Angeles, CA",1627,93,161,48,1466,98
14000US06037125502,6037125502,"Census Tract 1255.02, Los Angeles, CA",1843,97,442,111,1401,135
14000US06037125600,6037125600,"Census Tract 1256, Los Angeles, CA",1185,81,600,105,585,119
14000US06037127102,6037127102,"Census Tract 1271.02, Los Angeles, CA",1666,56,602,127,1064,134
14000US06037127103,6037127103,"Census Tract 1271.03, Los Angeles, CA",1099,79,190,77,909,100
14000US06037127104,6037127104,"Census Tract 1271.04, Los Angeles, CA",1298,53,422,105,876,104
14000US06037127210,6037127210,"Census Tract 1272.10, Los Angeles, CA",1905,107,598,116,1307,137
14000US06037127220,6037127220,"Census Tract 1272.20, Los Angeles, CA",1733,61,528,137,1205,125
14000US06037127300,6037127300,"Census Tract 1273, Los Angeles, CA",1375,68,496,91,879,112
14000US06037127400,6037127400,"Census Tract 1274, Los Angeles, CA",1865,72,477,115,1388,121
14000US06037127520,6037127520,"Census Tract 1275.20, Los Angeles, CA",1499,33,92,42,1407,50
14000US06037127603,6037127603,"Census Tract 1276.03, Los Angeles, CA",937,30,140,47,797,50
14000US06037127604,6037127604,"Census Tract 1276.04, Los Angeles, CA",1203,84,200,58,1003,91
14000US06037127605,6037127605,"Census Tract 1276.05, Los Angeles, CA",1170,51,126,54,1044,70
14000US06037127606,6037127606,"Census Tract 1276.06, Los Angeles, CA",1150,43,378,76,772,87
14000US06037127711,6037127711,"Census Tract 1277.11, Los Angeles, CA",1188,61,438,73,750,94
14000US06037127712,6037127712,"Census Tract 1277.12, Los Angeles, CA",1580,59,234,75,1346,92
14000US06037127803,6037127803,"Census Tract 1278.03, Los Angeles, CA",1670,65,353,100,1317,99
14000US06037127804,6037127804,"Census Tract 1278.04, Los Angeles, CA",1646,35,475,90,1171,96
14000US06037127805,6037127805,"Census Tract 1278.05, Los Angeles, CA",1198,67,278,70,920,80
14000US06037127806,6037127806,"Census Tract 1278.06, Los Angeles, CA",1198,92,260,83,938,100
14000US06037127910,6037127910,"Census Tract 1279.10, Los Angeles, CA",1446,109,285,91,1161,108
14000US06037127920,6037127920,"Census Tract 1279.20, Los Angeles, CA",1345,56,470,102,875,120
14000US06037128101,6037128101,"Census Tract 1281.01, Los Angeles, CA",1271,50,422,86,849,84
14000US06037128102,6037128102,"Census Tract 1281.02, Los Angeles, CA",1485,72,247,74,1238,100
14000US06037128210,6037128210,"Census Tract 1282.10, Los Angeles, CA",1555,81,46,37,1509,84
14000US06037128220,6037128220,"Census Tract 1282.20, Los Angeles, CA",1204,53,419,76,785,86
